Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound,review_length
1,0mie,5.0,purchased this for my device it worked as advertised you can never have too much phone memory since i download a lot of stuff this was a no brainer for me,,409,0,0,0,0,0.0,0.0,154
2,1K3,4.0,it works as expected i should have sprung for the higher capacity i think its made a bit cheesier than the earlier versions the paint looks not as clean as before,,715,0,0,0,0,0.0,0.0,162
3,1m2,5.0,this think has worked out great had a diff bran gb card and if went south after  months this one has held up pretty well since i had my s now on my note update   i ve had this for a few months and have had zero issue s since it was transferred from my s to my note and into a note this card is reliable and solid cheers,,382,0,0,0,0,0.0,0.0,319
4,2&amp;1/2Men,5.0,bought it with retail packaging arrived legit in a orange envelope english version not asian like the picture shows arrived quickly bought a  and  both retail packaging for my htc one sv and lg optimus both cards in working order probably best price you ll get for a nice sd card,,513,0,0,0,0,0.0,0.0,279
5,2Cents!,5.0,it s mini storage it doesn t do anything else and it s not supposed to i purchased it to add additional storage to my microsoft surface pro tablet which only come in  and  gb it does what it s supposed to and sandisk has a long standing reputation that speaks for itself,,588,0,0,0,0,0.0,0.0,270
6,2K1Toaster,5.0,i have it in my phone and it never skips a beat file transfers are speedy and have not had any corruption issues or memory fade issues as i would expect from the sandisk brand great card to own why entrust your precious files to a slightly cheaper piece of crap if you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good qa,,415,0,0,0,0,0.0,0.0,396
7,"35-year Technology Consumer ""8-tracks to 802.11""",5.0,it s hard to believe how affordable digital has become  gb in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago i picked this up for portable music when i didn t want to schlep or risk a phone or ipod works great with all sd card readers select with confidence,,62,0,0,0,0,0.0,0.0,315
8,4evryoung,5.0,works in a htc rezound was running short of space on a gb sandisk so i ordered this when it came out fast and no issues,,259,1,0,1,1,1.0,0.2065493143772374,119
9,53rdcard,5.0,in my galaxy s super fast card and am totally happy not happy having to still type to fill the required words though,,393,0,0,0,0,0.0,0.0,116
10,808TREX50,5.0,i like this sd card because it can take music video downloads personal videos files docs and multimedia images with a fast transfer rate of class  speed it can take games with large files very easily and still have enough space for apps it  s great for video cameras and camcorders with the supplied adapter fits very easily into smartphones and tablets sd card slots i recommend this gb sd card to everyone,,398,0,0,0,0,0.0,0.0,407
11,98020,3.0,it works but file writes are a bit slower than expected on a usb reader also both reads and writes are faster with the card inside the standard size sd adapter  mb s vs  write  mb s vs  mb s read on the same card reader can t figure why,,383,0,0,0,0,0.0,0.0,236
12,9z4cda,5.0,the name of itself speaks out go sandisk go,,245,0,0,0,0,0.0,0.0,43
13,"A4Q96 ""Gadget Lover""",5.0,solid sdhc card that is fast at reading and writing fast for recording video and pics has great capacity and is reasonably priced i have had no issues with it overall highly recommend,,382,0,0,0,0,0.0,0.0,183
14,"Aaron ""Aaron""",5.0,heard that the card s write speed is insufficient however i have used it extensively and haven t had a single problem with it,,294,0,0,0,0,0.0,0.0,125
